You entered a buffer length of 20
gx: -0.939424, gy: 0.341797, gz: 0.727051, avg x: -0.144556, avg y: 0.047644, avg z: 0.158276, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.809570
gx: -0.795310, gy: 0.357422, gz: 0.537109, avg x: -0.181048, avg y: 0.059436, avg z: 0.179321, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.809570
gx: -0.648754, gy: 0.313965, gz: 0.464355, avg x: -0.195899, avg y: 0.065149, avg z: 0.187207, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.809570
gx: -0.217391, gy: 0.000000, gz: 0.306641, avg x: -0.181732, avg y: 0.053235, avg z: 0.182398, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.809570
gx: -0.028823, gy: -0.203224, gz: 0.121094, avg x: -0.148562, avg y: 0.024714, avg z: 0.169995, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.809570
gx: 0.233398, gy: -0.380557, gz: -0.353200, avg x: -0.102695, avg y: -0.013967, avg z: 0.137150, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.368652, z_min: -0.574988, z_max: 0.809570
gx: 0.307617, gy: -0.387885, gz: -0.483146, avg x: -0.058761, avg y: -0.045519, avg z: 0.100688, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.368652, z_min: -0.574988, z_max: 0.809570
gx: 0.402832, gy: -0.444553, gz: -0.616023, avg x: -0.023524, avg y: -0.068284, avg z: 0.059193, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.368652, z_min: -0.616023, z_max: 0.809570
gx: 0.401855, gy: -0.516854, gz: -0.671715, avg x: 0.002578, avg y: -0.090145, avg z: 0.017258, x_min: -0.939424, x_max: 0.660156, y_min: -0.558378, y_max: 0.368652, z_min: -0.671715, z_max: 0.809570
gx: 0.479004, gy: -0.565706, gz: -0.667807, avg x: 0.016079, avg y: -0.104508, avg z: -0.016303, x_min: -0.939424, x_max: 0.660156, y_min: -0.565706, y_max: 0.368652, z_min: -0.671715, z_max: 0.809570
gx: 0.505859, gy: -0.523693, gz: -0.576453, avg x: 0.022622, avg y: -0.108367, avg z: -0.030153, x_min: -0.939424, x_max: 0.660156, y_min: -0.565706, y_max: 0.368652, z_min: -0.671715, z_max: 0.809570
gx: 0.523926, gy: -0.422081, gz: -0.401075, avg x: 0.025625, avg y: -0.104410, avg z: -0.026294, x_min: -0.939424, x_max: 0.660156, y_min: -0.565706, y_max: 0.368652, z_min: -0.671715, z_max: 0.809570
gx: 0.402344, gy: -0.141671, gz: -0.164631, avg x: 0.015932, avg y: -0.083575, avg z: -0.005776, x_min: -0.939424, x_max: 0.660156, y_min: -0.565706, y_max: 0.368652, z_min: -0.671715, z_max: 0.809570
gx: 0.048828, gy: 0.191406, gz: 0.146484, avg x: -0.014634, avg y: -0.051068, avg z: 0.026072, x_min: -0.939424, x_max: 0.527832, y_min: -0.565706, y_max: 0.368652, z_min: -0.671715, z_max: 0.809570
gx: -0.473376, gy: 0.373047, gz: 0.688965, avg x: -0.064694, avg y: -0.023672, avg z: 0.068068, x_min: -0.939424, x_max: 0.523926, y_min: -0.565706, y_max: 0.373047, z_min: -0.671715, z_max: 0.809570
gx: -0.660479, gy: 0.365723, gz: 0.924805, avg x: -0.107533, avg y: -0.014760, avg z: 0.107912, x_min: -0.939424, x_max: 0.523926, y_min: -0.565706, y_max: 0.373047, z_min: -0.671715, z_max: 0.924805
gx: -0.933561, gy: 0.244141, gz: -0.913043, avg x: -0.158312, avg y: -0.016079, avg z: 0.050321, x_min: -0.939424, x_max: 0.523926, y_min: -0.565706, y_max: 0.373047, z_min: -0.913043, z_max: 0.924805
gx: -0.890083, gy: 0.200195, gz: 0.887695, avg x: -0.193168, avg y: -0.024502, avg z: 0.074613, x_min: -0.939424, x_max: 0.523926, y_min: -0.565706, y_max: 0.373047, z_min: -0.913043, z_max: 0.924805
gx: -0.571080, gy: 0.360840, gz: 0.317383, avg x: -0.186109, avg y: -0.024892, avg z: 0.054203, x_min: -0.939424, x_max: 0.523926, y_min: -0.565706, y_max: 0.373047, z_min: -0.913043, z_max: 0.924805
gx: -0.190523, gy: 0.494141, gz: -0.122618, avg x: -0.152157, avg y: -0.017177, avg z: 0.007594, x_min: -0.939424, x_max: 0.523926, y_min: -0.565706, y_max: 0.494141, z_min: -0.913043, z_max: 0.924805
gx: -0.094284, gy: 0.457520, gz: -0.222765, avg x: -0.109900, avg y: -0.011391, avg z: -0.039897, x_min: -0.933561, x_max: 0.523926, y_min: -0.565706, y_max: 0.494141, z_min: -0.913043, z_max: 0.924805
gx: 0.085938, gy: 0.218750, gz: -0.327308, avg x: -0.065838, avg y: -0.018325, avg z: -0.083118, x_min: -0.933561, x_max: 0.523926, y_min: -0.565706, y_max: 0.494141, z_min: -0.913043, z_max: 0.924805
gx: 0.175293, gy: -0.048363, gz: -0.334636, avg x: -0.024635, avg y: -0.036441, avg z: -0.123068, x_min: -0.933561, x_max: 0.523926, y_min: -0.565706, y_max: 0.494141, z_min: -0.913043, z_max: 0.924805
gx: 0.198242, gy: -0.175379, gz: -0.352223, avg x: -0.003854, avg y: -0.045210, avg z: -0.156011, x_min: -0.933561, x_max: 0.523926, y_min: -0.565706, y_max: 0.494141, z_min: -0.913043, z_max: 0.924805
gx: 0.229492, gy: -0.306302, gz: -0.380068, avg x: 0.009062, avg y: -0.050364, avg z: -0.181069, x_min: -0.933561, x_max: 0.523926, y_min: -0.565706, y_max: 0.494141, z_min: -0.913043, z_max: 0.924805
