You entered a buffer length of 20
gx: 0.183594, gy: 0.492676, gz: -0.001954, avg x: -0.077796, avg y: 0.101489, avg z: -0.033351, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.125000, gy: 0.062500, gz: 0.077148, avg x: -0.049343, avg y: 0.075927, avg z: -0.050148, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.089844, gy: -0.299951, gz: 0.026855, avg x: -0.026702, avg y: 0.034636, avg z: -0.060280, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.240234, gy: -0.507572, gz: -0.200293, avg x: -0.016204, avg y: -0.010713, avg z: -0.061648, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.322266, gy: -0.550073, gz: -0.358574, avg x: -0.013006, avg y: -0.046225, avg z: -0.059816, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.541016, gy: -0.543723, gz: -0.665364, avg x: 0.014778, avg y: -0.073411, avg z: -0.079967, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.600098, gy: -0.347826, gz: -0.632633, avg x: 0.059097, avg y: -0.080836, avg z: -0.113943, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.466797, gy: -0.154861, gz: -0.240352, avg x: 0.101073, avg y: -0.071774, avg z: -0.131527, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: 0.208496, gy: -0.118222, gz: 0.066895, avg x: 0.128499, avg y: -0.044710, avg z: -0.128035, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: -0.346361, gy: -0.156815, gz: 0.401367, avg x: 0.118533, avg y: -0.016010, avg z: -0.094435, x_min: -0.845139, x_max: 0.724609, y_min: -0.644846, y_max: 0.623535, z_min: -0.698095, z_max: 0.604492
gx: -0.502687, gy: -0.135808, gz: 0.458984, avg x: 0.076944, avg y: 0.009442, avg z: -0.036581, x_min: -0.845139, x_max: 0.724609, y_min: -0.550073, y_max: 0.623535, z_min: -0.672692, z_max: 0.604492
gx: -0.609673, gy: 0.042969, gz: 0.365723, avg x: 0.012231, avg y: 0.027443, avg z: 0.015340, x_min: -0.845139, x_max: 0.724609, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.604492
gx: -0.595017, gy: 0.264648, gz: 0.101562, avg x: -0.053750, avg y: 0.046880, avg z: 0.046871, x_min: -0.845139, x_max: 0.600098, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.604492
gx: -0.324866, gy: 0.581543, gz: -0.110405, avg x: -0.095237, avg y: 0.062016, avg z: 0.043207, x_min: -0.845139, x_max: 0.600098, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.604492
gx: -0.200293, gy: 0.497070, gz: -0.054226, avg x: -0.113553, avg y: 0.067827, avg z: 0.026092, x_min: -0.845139, x_max: 0.600098, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.604492
gx: -0.322912, gy: 0.102539, gz: 0.063965, avg x: -0.102097, avg y: 0.057304, avg z: -0.000935, x_min: -0.845139, x_max: 0.600098, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.515137
gx: -0.339033, gy: -0.024426, gz: 0.102539, avg x: -0.076792, avg y: 0.043437, avg z: -0.021565, x_min: -0.662433, x_max: 0.600098, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.458984
gx: -0.272106, gy: -0.254519, gz: 0.055176, avg x: -0.057275, avg y: 0.007029, avg z: -0.025471, x_min: -0.609673, x_max: 0.600098, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.458984
gx: -0.173425, gy: -0.340010, gz: -0.070835, avg x: -0.041618, avg y: -0.038316, avg z: -0.031869, x_min: -0.609673, x_max: 0.600098, y_min: -0.550073, y_max: 0.623535, z_min: -0.665364, z_max: 0.458984
gx: 0.025391, gy: -0.417684, gz: -0.237421, avg x: -0.044182, avg y: -0.090377, avg z: -0.042592, x_min: -0.609673, x_max: 0.600098, y_min: -0.550073, y_max: 0.581543, z_min: -0.665364, z_max: 0.458984
gx: 0.251465, gy: -0.529067, gz: -0.397167, avg x: -0.040788, avg y: -0.141464, avg z: -0.062353, x_min: -0.609673, x_max: 0.600098, y_min: -0.550073, y_max: 0.581543, z_min: -0.665364, z_max: 0.458984
gx: 0.541016, gy: -0.549096, gz: -0.580361, avg x: -0.019987, avg y: -0.172044, avg z: -0.095228, x_min: -0.609673, x_max: 0.600098, y_min: -0.550073, y_max: 0.581543, z_min: -0.665364, z_max: 0.458984
