You entered a buffer length of 20
gx: 0.001465, gy: -0.003908, gz: -0.006351, avg x: -0.000929, avg y: -0.001100, avg z: -0.006473, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: -0.001954, gy: -0.001954, gz: -0.004885, avg x: -0.000880, avg y: -0.001344, avg z: -0.006400, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.004885
gx: 0.000000, gy: -0.000977, gz: -0.004885, avg x: -0.000758, avg y: -0.001637, avg z: -0.006375, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.002930, z_min: -0.008305, z_max: -0.004885
gx: -0.006351, gy: -0.002443, gz: -0.005862, avg x: -0.000831, avg y: -0.001905, avg z: -0.006351, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.000977, z_min: -0.008305, z_max: -0.004885
gx: -0.011236, gy: -0.000489, gz: -0.007328, avg x: -0.001051, avg y: -0.001979, avg z: -0.006400, x_min: -0.011236, x_max: 0.006836, y_min: -0.007328, y_max: 0.000000, z_min: -0.008305, z_max: -0.004885
gx: -0.016121, gy: 0.000488, gz: -0.005862, avg x: -0.001637, avg y: -0.001930, avg z: -0.006351, x_min: -0.016121, x_max: 0.006836, y_min: -0.007328, y_max: 0.000488, z_min: -0.008305, z_max: -0.004885
gx: -0.011724, gy: 0.002441, gz: -0.005862, avg x: -0.002370, avg y: -0.001783, avg z: -0.006375, x_min: -0.016121, x_max: 0.006836, y_min: -0.007328, y_max: 0.002441, z_min: -0.008305, z_max: -0.004885
gx: 0.003906, gy: 0.004883, gz: -0.005374, avg x: -0.002321, avg y: -0.001393, avg z: -0.006326, x_min: -0.016121, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.004885
gx: 0.003906, gy: 0.004883, gz: -0.006351, avg x: -0.002150, avg y: -0.000929, avg z: -0.006351, x_min: -0.016121, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.004885
gx: -0.006839, gy: -0.000977, gz: -0.006351, avg x: -0.002370, avg y: -0.000660, avg z: -0.006400, x_min: -0.016121, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.004885
gx: -0.003908, gy: -0.003420, gz: -0.006839, avg x: -0.002346, avg y: -0.000465, avg z: -0.006375, x_min: -0.016121, x_max: 0.006836, y_min: -0.003908, y_max: 0.004883, z_min: -0.008305, z_max: -0.004885
gx: -0.000489, gy: -0.001466, gz: -0.005374, avg x: -0.002272, avg y: -0.000538, avg z: -0.006229, x_min: -0.016121, x_max: 0.006836, y_min: -0.003908, y_max: 0.004883, z_min: -0.007816, z_max: -0.004885
gx: -0.002931, gy: -0.000489, gz: -0.006351, avg x: -0.002028, avg y: -0.000538, avg z: -0.006204, x_min: -0.016121, x_max: 0.006836, y_min: -0.003908, y_max: 0.004883, z_min: -0.007816, z_max: -0.004885
