You entered a buffer length of 20
gx: 0.043945, gy: -0.008305, gz: 0.034180, avg x: 0.074023, avg y: 0.010688, avg z: 0.004850, x_min: 0.004883, x_max: 0.146484, y_min: -0.048852, y_max: 0.060059, z_min: -0.054226, z_max: 0.071777
gx: 0.037598, gy: -0.000489, gz: -0.004397, avg x: 0.075659, avg y: 0.013106, avg z: 0.001579, x_min: 0.007324, x_max: 0.146484, y_min: -0.044944, y_max: 0.060059, z_min: -0.054226, z_max: 0.071777
gx: 0.020508, gy: 0.006836, gz: -0.056668, avg x: 0.076318, avg y: 0.015695, avg z: -0.002402, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.060059, z_min: -0.056668, z_max: 0.071777
gx: 0.039551, gy: 0.016113, gz: -0.092330, avg x: 0.076880, avg y: 0.015939, avg z: -0.006091, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.060059, z_min: -0.092330, z_max: 0.071777
gx: 0.038086, gy: 0.027832, gz: -0.093796, avg x: 0.076245, avg y: 0.014328, avg z: -0.008729, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.059082, z_min: -0.093796, z_max: 0.071777
gx: 0.045410, gy: 0.048340, gz: -0.120664, avg x: 0.075415, avg y: 0.013791, avg z: -0.013467, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.056152, z_min: -0.120664, z_max: 0.071777
gx: 0.071289, gy: 0.065430, gz: -0.127992, avg x: 0.075098, avg y: 0.016232, avg z: -0.021405, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.065430, z_min: -0.127992, z_max: 0.071777
gx: 0.091797, gy: 0.071289, gz: -0.100147, avg x: 0.076294, avg y: 0.020017, avg z: -0.029122, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.071289, z_min: -0.127992, z_max: 0.071777
gx: 0.081055, gy: 0.058594, gz: -0.090865, avg x: 0.077368, avg y: 0.024363, avg z: -0.037254, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.071289, z_min: -0.127992, z_max: 0.068359
gx: 0.047363, gy: 0.037109, gz: -0.078163, avg x: 0.077002, avg y: 0.027855, avg z: -0.044580, x_min: 0.020508, x_max: 0.146484, y_min: -0.034196, y_max: 0.071289, z_min: -0.127992, z_max: 0.046875
gx: 0.012695, gy: 0.036621, gz: -0.084025, avg x: 0.074902, avg y: 0.031396, avg z: -0.051125, x_min: 0.012695, x_max: 0.146484, y_min: -0.011236, y_max: 0.071289, z_min: -0.127992, z_max: 0.034180
gx: -0.007816, gy: 0.058594, gz: -0.093307, avg x: 0.071484, avg y: 0.034887, avg z: -0.055253, x_min: -0.007816, x_max: 0.146484, y_min: -0.008305, y_max: 0.071289, z_min: -0.127992, z_max: 0.034180
gx: -0.012702, gy: 0.080566, gz: -0.103078, avg x: 0.065429, avg y: 0.038403, avg z: -0.059113, x_min: -0.012702, x_max: 0.146484, y_min: -0.008305, y_max: 0.080566, z_min: -0.127992, z_max: 0.034180
gx: 0.019531, gy: 0.110352, gz: -0.067416, avg x: 0.060253, avg y: 0.042431, avg z: -0.060896, x_min: -0.012702, x_max: 0.146484, y_min: -0.008305, y_max: 0.110352, z_min: -0.127992, z_max: 0.034180
gx: 0.035645, gy: 0.123535, gz: -0.065462, avg x: 0.055224, avg y: 0.046899, avg z: -0.062312, x_min: -0.012702, x_max: 0.146484, y_min: -0.008305, y_max: 0.123535, z_min: -0.127992, z_max: 0.034180
gx: 0.052246, gy: 0.125977, gz: -0.058134, avg x: 0.050512, avg y: 0.050488, avg z: -0.063021, x_min: -0.012702, x_max: 0.122070, y_min: -0.008305, y_max: 0.125977, z_min: -0.127992, z_max: 0.034180
gx: 0.034668, gy: 0.105957, gz: -0.052272, avg x: 0.046142, avg y: 0.053027, avg z: -0.062923, x_min: -0.012702, x_max: 0.118652, y_min: -0.008305, y_max: 0.125977, z_min: -0.127992, z_max: 0.034180
gx: -0.016121, gy: 0.082520, gz: -0.054714, avg x: 0.039403, avg y: 0.054346, avg z: -0.063558, x_min: -0.016121, x_max: 0.097168, y_min: -0.008305, y_max: 0.125977, z_min: -0.127992, z_max: 0.034180
gx: -0.029800, gy: 0.100098, gz: -0.051783, avg x: 0.033055, avg y: 0.057422, avg z: -0.066367, x_min: -0.029800, x_max: 0.091797, y_min: -0.008305, y_max: 0.125977, z_min: -0.127992, z_max: 0.034180
gx: -0.036639, gy: 0.104980, gz: -0.031754, avg x: 0.028415, avg y: 0.062597, avg z: -0.069639, x_min: -0.036639, x_max: 0.091797, y_min: -0.008305, y_max: 0.125977, z_min: -0.127992, z_max: 0.034180
gx: 0.019531, gy: 0.144043, gz: -0.023937, avg x: 0.027195, avg y: 0.070215, avg z: -0.072545, x_min: -0.036639, x_max: 0.091797, y_min: -0.000489, y_max: 0.144043, z_min: -0.127992, z_max: -0.004397
gx: 0.053223, gy: 0.153320, gz: -0.020518, avg x: 0.027976, avg y: 0.077905, avg z: -0.073351, x_min: -0.036639, x_max: 0.091797, y_min: 0.006836, y_max: 0.153320, z_min: -0.127992, z_max: -0.020518
